ResponseId,substance_codes,substance_labels,primary_substance_code,primary_substance,dosage_code,dosage_label,dosage_text,other_substances_any,other_substances_text,stage_code,stage_label,when_code,when_label
R_8pXhj5kyayovIq4,[1],LSD,1.0,LSD,4.0,high,2 tabs and a joint,True,,3,middle,1,within the past week
R_8PdiFmTlm4Z4Iqw,[2],Psilocybin,2.0,Psilocybin,2.0,small,2g,False,,4,late middle,2,within the past month
R_833x9avNLhw0vJf,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,,False,,3,middle,2,within the past month
R_7JOAi7t8aKst5nL,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,About 2.6,False,,4,late middle,2,within the past month
R_1Mxw9B2tuqqHxdD,[2],Psilocybin,2.0,Psilocybin,4.0,high,"2g penis envy mushrooms, unusually strong based on ~1 dozen other mushroom experiences at 3.5g range",False,,3,middle,1,within the past week
R_8JmP8A9h7cIabhn,[1],LSD,1.0,LSD,3.0,moderate,100 micrograms,True,,2,early middle,1,within the past week
R_1iOwDYtLXxkmu4Z,"[2, 11]","Psilocybin, Other",,,5.0,very high,4g of Penis Envy mushrooms + 4g of Syrian Rue seeds,False,,2,early middle,3,within the past 3 months
R_8lm0MOmwviVgjHU,[2],Psilocybin,2.0,Psilocybin,5.0,very high,10 grams,True,,4,late middle,1,within the past week
R_6AWtFSrdggpxkaJ,"[4, 6]","DMT, 5-MeO-DMT",,,3.0,moderate,7MG 5-MEO-DMT,False,,1,beginning,7,Unknown(7)
R_8uHUPBl1SULNtat,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,"2,5 grams mushrooms ",False,,3,middle,3,within the past 3 months
R_6iDwrWlUCGwPHXy,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,,True,,3,middle,2,within the past month
R_5j6uJaMdEcrEJMS,[6],5-MeO-DMT,6.0,5-MeO-DMT,4.0,high,,False,,1,beginning,7,Unknown(7)
R_5wHoX3ttRiUW43g,[2],Psilocybin,2.0,Psilocybin,4.0,high,4g psilocybin ,False,,3,middle,2,within the past month
R_1PiLrtgqgAHgbYJ,[1],LSD,1.0,LSD,4.0,high,two tabs,True,,3,middle,2,within the past month
R_6smIW7YFtWsOdCQ,[11],Other,,,2.0,small,6mg,False,,3,middle,1,within the past week
R_2LbtsK668RvapeF,"[2, 6]","Psilocybin, 5-MeO-DMT",,,4.0,high,,False,,1,beginning,3,within the past 3 months
R_8pldxKnKDimPDys,[6],5-MeO-DMT,6.0,5-MeO-DMT,7.0,unknown,,False,,3,middle,1,within the past week
R_7cTzDfiLPQ0wBC9,[6],5-MeO-DMT,6.0,5-MeO-DMT,3.0,moderate,Roughly .02mg,False,,3,middle,1,within the past week
R_1levP6TzI6EFeP7,[1],LSD,1.0,LSD,4.0,high,200,True,,3,middle,1,within the past week
R_6QEuAAP3YqW0Th7,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,4 grams,False,,1,beginning,1,within the past week
R_6rF4jrVpI9mVj9v,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,4 grams,False,,1,beginning,1,within the past week
R_8Yms2EHNED6fUBP,[2],Psilocybin,2.0,Psilocybin,4.0,high,4g,True,,2,early middle,1,within the past week
